,Arg0,Arg1,Arg2,Arg3,ArgM_ADV,ArgM_LOC,ArgM_MNR,ArgM_NEG,ArgM_PRX,ArgM_TMP,sum
Arg0,0.0,67.0,17.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,90.0
Arg1,86.0,0.0,87.0,4.0,2.0,6.0,0.0,0.0,17.0,0.0,202.0
Arg2,30.0,105.0,0.0,23.0,5.0,28.0,3.0,0.0,2.0,2.0,198.0
Arg3,5.0,13.0,22.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,47.0
ArgM_ADV,1.0,3.0,3.0,3.0,0.0,0.0,27.0,0.0,0.0,20.0,57.0
ArgM_LOC,2.0,5.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,33.0
ArgM_MNR,0.0,1.0,3.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,29.0
ArgM_NEG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ArgM_PRX,0.0,24.0,11.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,40.0
ArgM_TMP,0.0,4.0,5.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,24.0
sum,124.0,222.0,168.0,36.0,50.0,46.0,31.0,0.0,20.0,23.0,720.0
