,correct_num,wrong_num,predict_num,missed_num,support,precision,recall,f1
Arg,0.0,0.0,0.0,0.0,0.0,,,
Arg0,1419.0,253.0,1672.0,294.0,1713.0,0.8487,0.8284,0.8384
Arg1,3351.0,706.0,4057.0,784.0,4135.0,0.826,0.8104,0.8181
Arg2,1215.0,429.0,1644.0,511.0,1726.0,0.7391,0.7039,0.7211
Arg3,28.0,24.0,52.0,61.0,89.0,0.5385,0.3146,0.3972
Arg4,11.0,20.0,31.0,33.0,44.0,0.3548,0.25,0.2933
Arg5,5.0,1.0,6.0,9.0,14.0,0.8333,0.3571,0.5
ArgA,0.0,0.0,0.0,3.0,3.0,,0.0,
ArgM,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM2,0.0,0.0,0.0,0.0,0.0,,,
ArgM_ADV,251.0,187.0,438.0,193.0,444.0,0.5731,0.5653,0.5692
ArgM_AND,0.0,0.0,0.0,2.0,2.0,,0.0,
ArgM_BUT,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM_CAU,36.0,37.0,73.0,36.0,72.0,0.4932,0.5,0.4966
ArgM_CMP,8.0,13.0,21.0,19.0,27.0,0.381,0.2963,0.3333
ArgM_CND,0.0,0.0,0.0,9.0,9.0,,0.0,
ArgM_CRT,4.0,7.0,11.0,9.0,13.0,0.3636,0.3077,0.3333
ArgM_DIR,13.0,4.0,17.0,14.0,27.0,0.7647,0.4815,0.5909
ArgM_EXT,15.0,16.0,31.0,26.0,41.0,0.4839,0.3659,0.4167
ArgM_GOL,0.0,0.0,0.0,0.0,0.0,,,
ArgM_LOC,89.0,53.0,142.0,85.0,174.0,0.6268,0.5115,0.5633
ArgM_MDF,0.0,0.0,0.0,6.0,6.0,,0.0,
ArgM_MNR,81.0,69.0,150.0,68.0,149.0,0.54,0.5436,0.5418
ArgM_MNS,19.0,28.0,47.0,22.0,41.0,0.4043,0.4634,0.4318
ArgM_NEG,105.0,13.0,118.0,20.0,125.0,0.8898,0.84,0.8642
ArgM_PRP,11.0,8.0,19.0,15.0,26.0,0.5789,0.4231,0.4889
ArgM_PRX,49.0,29.0,78.0,61.0,110.0,0.6282,0.4455,0.5213
ArgM_REC,44.0,13.0,57.0,12.0,56.0,0.7719,0.7857,0.7788
ArgM_SCP,16.0,41.0,57.0,39.0,55.0,0.2807,0.2909,0.2857
ArgM_SPK,0.0,0.0,0.0,0.0,0.0,,,
ArgM_TMP,140.0,85.0,225.0,88.0,228.0,0.6222,0.614,0.6181
sum,6910.0,2036.0,8946.0,2421.0,9331.0,12.5426,10.6988,11.4019
precision,0.7724,,,,,,,
recall,0.7405,,,,,,,
f1,0.7561,,,,,,,
f1_macro,0.7356,,,,,,,
