,Arg0,Arg1,Arg2,Arg3,ArgM_ADV,ArgM_LOC,ArgM_MNR,ArgM_NEG,ArgM_PRX,ArgM_TMP,sum
Arg0,0.0,34.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0
Arg1,74.0,0.0,45.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,132.0
Arg2,26.0,86.0,0.0,16.0,3.0,15.0,3.0,0.0,4.0,0.0,153.0
Arg3,5.0,6.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,32.0
ArgM_ADV,1.0,2.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,12.0,32.0
ArgM_LOC,2.0,6.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0
ArgM_MNR,0.0,1.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,22.0
ArgM_NEG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ArgM_PRX,0.0,24.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,30.0
ArgM_TMP,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0
sum,108.0,160.0,86.0,23.0,41.0,20.0,18.0,0.0,11.0,13.0,480.0
