,correct_num,wrong_num,predict_num,missed_num,support,precision,recall,f1
Arg,0.0,0.0,0.0,0.0,0.0,,,
Arg0,1476.0,265.0,1741.0,212.0,1688.0,0.8478,0.8744,0.8609
Arg1,3293.0,626.0,3919.0,739.0,4032.0,0.8403,0.8167,0.8283
Arg2,1126.0,295.0,1421.0,494.0,1620.0,0.7924,0.6951,0.7405
Arg3,23.0,32.0,55.0,70.0,93.0,0.4182,0.2473,0.3108
Arg4,17.0,7.0,24.0,28.0,45.0,0.7083,0.3778,0.4928
Arg5,3.0,1.0,4.0,4.0,7.0,0.75,0.4286,0.5455
ArgA,1.0,0.0,1.0,4.0,5.0,1.0,0.2,0.3333
ArgM,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM2,0.0,0.0,0.0,0.0,0.0,,,
ArgM_ADV,247.0,159.0,406.0,183.0,430.0,0.6084,0.5744,0.5909
ArgM_AND,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM_BUT,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM_CAU,37.0,16.0,53.0,32.0,69.0,0.6981,0.5362,0.6066
ArgM_CMP,3.0,4.0,7.0,14.0,17.0,0.4286,0.1765,0.25
ArgM_CND,0.0,1.0,1.0,6.0,6.0,0.0,0.0,
ArgM_CRT,2.0,4.0,6.0,18.0,20.0,0.3333,0.1,0.1538
ArgM_DIR,10.0,0.0,10.0,16.0,26.0,1.0,0.3846,0.5556
ArgM_EXT,7.0,14.0,21.0,24.0,31.0,0.3333,0.2258,0.2692
ArgM_GOL,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
ArgM_LOC,86.0,41.0,127.0,57.0,143.0,0.6772,0.6014,0.637
ArgM_MDF,0.0,0.0,0.0,8.0,8.0,,0.0,
ArgM_MNR,62.0,45.0,107.0,65.0,127.0,0.5794,0.4882,0.5299
ArgM_MNS,17.0,13.0,30.0,22.0,39.0,0.5667,0.4359,0.4928
ArgM_NEG,82.0,43.0,125.0,15.0,97.0,0.656,0.8454,0.7387
ArgM_PRP,9.0,6.0,15.0,17.0,26.0,0.6,0.3462,0.439
ArgM_PRX,44.0,26.0,70.0,49.0,93.0,0.6286,0.4731,0.5399
ArgM_REC,33.0,8.0,41.0,12.0,45.0,0.8049,0.7333,0.7674
ArgM_SCP,10.0,19.0,29.0,46.0,56.0,0.3448,0.1786,0.2353
ArgM_SPK,0.0,0.0,0.0,0.0,0.0,,,
ArgM_TMP,146.0,55.0,201.0,82.0,228.0,0.7264,0.6404,0.6807
sum,6734.0,1681.0,8415.0,2221.0,8955.0,14.3426,10.3798,11.5989
precision,0.8002,,,,,,,
recall,0.752,,,,,,,
f1,0.7754,,,,,,,
f1_macro,0.7483,,,,,,,
