,correct_num,wrong_num,predict_num,missed_num,support,precision,recall,f1
Arg,0.0,0.0,0.0,0.0,0.0,,,
Arg0,1434.0,224.0,1658.0,279.0,1713.0,0.8649,0.8371,0.8508
Arg1,3353.0,715.0,4068.0,782.0,4135.0,0.8242,0.8109,0.8175
Arg2,1211.0,381.0,1592.0,515.0,1726.0,0.7607,0.7016,0.73
Arg3,23.0,13.0,36.0,66.0,89.0,0.6389,0.2584,0.368
Arg4,12.0,10.0,22.0,32.0,44.0,0.5455,0.2727,0.3636
Arg5,7.0,6.0,13.0,7.0,14.0,0.5385,0.5,0.5185
ArgA,0.0,2.0,2.0,3.0,3.0,0.0,0.0,
ArgM,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM2,0.0,0.0,0.0,0.0,0.0,,,
ArgM_ADV,242.0,133.0,375.0,202.0,444.0,0.6453,0.545,0.591
ArgM_AND,0.0,0.0,0.0,2.0,2.0,,0.0,
ArgM_BUT,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM_CAU,26.0,15.0,41.0,46.0,72.0,0.6341,0.3611,0.4602
ArgM_CMP,8.0,7.0,15.0,19.0,27.0,0.5333,0.2963,0.381
ArgM_CND,0.0,0.0,0.0,9.0,9.0,,0.0,
ArgM_CRT,6.0,3.0,9.0,7.0,13.0,0.6667,0.4615,0.5455
ArgM_DIR,15.0,9.0,24.0,12.0,27.0,0.625,0.5556,0.5882
ArgM_EXT,12.0,26.0,38.0,29.0,41.0,0.3158,0.2927,0.3038
ArgM_GOL,0.0,0.0,0.0,0.0,0.0,,,
ArgM_LOC,82.0,42.0,124.0,92.0,174.0,0.6613,0.4713,0.5503
ArgM_MDF,0.0,1.0,1.0,6.0,6.0,0.0,0.0,
ArgM_MNR,78.0,45.0,123.0,71.0,149.0,0.6341,0.5235,0.5735
ArgM_MNS,19.0,20.0,39.0,22.0,41.0,0.4872,0.4634,0.475
ArgM_NEG,113.0,26.0,139.0,12.0,125.0,0.8129,0.904,0.8561
ArgM_PRP,11.0,7.0,18.0,15.0,26.0,0.6111,0.4231,0.5
ArgM_PRX,49.0,36.0,85.0,61.0,110.0,0.5765,0.4455,0.5026
ArgM_REC,43.0,6.0,49.0,13.0,56.0,0.8776,0.7679,0.819
ArgM_SCP,24.0,40.0,64.0,31.0,55.0,0.375,0.4364,0.4034
ArgM_SPK,0.0,0.0,0.0,0.0,0.0,,,
ArgM_TMP,146.0,72.0,218.0,82.0,228.0,0.6697,0.6404,0.6547
sum,6914.0,1839.0,8753.0,2417.0,9331.0,13.2983,10.9683,11.8526
precision,0.7899,,,,,,,
recall,0.741,,,,,,,
f1,0.7647,,,,,,,
f1_macro,0.7647,,,,,,,
