,correct_num,wrong_num,predict_num,missed_num,support,precision,recall,f1
Arg,0.0,0.0,0.0,1.0,1.0,,0.0,
Arg0,1433.0,176.0,1609.0,309.0,1742.0,0.8906,0.8226,0.8553
Arg1,3326.0,734.0,4060.0,813.0,4139.0,0.8192,0.8036,0.8113
Arg2,1204.0,384.0,1588.0,543.0,1747.0,0.7582,0.6892,0.722
Arg3,31.0,25.0,56.0,97.0,128.0,0.5536,0.2422,0.337
Arg4,11.0,6.0,17.0,35.0,46.0,0.6471,0.2391,0.3492
Arg5,4.0,1.0,5.0,6.0,10.0,0.8,0.4,0.5333
ArgA,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM,0.0,0.0,0.0,0.0,0.0,,,
ArgM2,0.0,0.0,0.0,0.0,0.0,,,
ArgM_ADV,191.0,108.0,299.0,237.0,428.0,0.6388,0.4463,0.5254
ArgM_AND,0.0,0.0,0.0,0.0,0.0,,,
ArgM_BUT,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM_CAU,38.0,18.0,56.0,48.0,86.0,0.6786,0.4419,0.5352
ArgM_CMP,10.0,5.0,15.0,14.0,24.0,0.6667,0.4167,0.5128
ArgM_CND,2.0,0.0,2.0,13.0,15.0,1.0,0.1333,0.2353
ArgM_CRT,10.0,10.0,20.0,8.0,18.0,0.5,0.5556,0.5263
ArgM_DIR,13.0,8.0,21.0,21.0,34.0,0.619,0.3824,0.4727
ArgM_EXT,9.0,16.0,25.0,35.0,44.0,0.36,0.2045,0.2609
ArgM_GOL,0.0,0.0,0.0,5.0,5.0,,0.0,
ArgM_LOC,60.0,23.0,83.0,95.0,155.0,0.7229,0.3871,0.5042
ArgM_MDF,0.0,2.0,2.0,7.0,7.0,0.0,0.0,
ArgM_MNR,56.0,65.0,121.0,68.0,124.0,0.4628,0.4516,0.4571
ArgM_MNS,17.0,16.0,33.0,27.0,44.0,0.5152,0.3864,0.4416
ArgM_NEG,119.0,41.0,160.0,10.0,129.0,0.7438,0.9225,0.8235
ArgM_PRP,6.0,4.0,10.0,9.0,15.0,0.6,0.4,0.48
ArgM_PRX,28.0,22.0,50.0,57.0,85.0,0.56,0.3294,0.4148
ArgM_REC,41.0,4.0,45.0,16.0,57.0,0.9111,0.7193,0.8039
ArgM_SCP,13.0,15.0,28.0,60.0,73.0,0.4643,0.1781,0.2574
ArgM_SPK,0.0,0.0,0.0,0.0,0.0,,,
ArgM_TMP,144.0,61.0,205.0,86.0,230.0,0.7024,0.6261,0.6621
sum,6766.0,1744.0,8510.0,2622.0,9388.0,14.6142,10.1777,11.5215
precision,0.7951,,,,,,,
recall,0.7207,,,,,,,
f1,0.7561,,,,,,,
f1_macro,0.7433,,,,,,,
