,correct_num,wrong_num,predict_num,missed_num,support,precision,recall,f1
Arg,0.0,0.0,0.0,1.0,1.0,,0.0,
Arg0,1466.0,222.0,1688.0,276.0,1742.0,0.8685,0.8416,0.8548
Arg1,3304.0,736.0,4040.0,835.0,4139.0,0.8178,0.7983,0.8079
Arg2,1210.0,448.0,1658.0,537.0,1747.0,0.7298,0.6926,0.7107
Arg3,43.0,50.0,93.0,85.0,128.0,0.4624,0.3359,0.3891
Arg4,11.0,7.0,18.0,35.0,46.0,0.6111,0.2391,0.3438
Arg5,2.0,0.0,2.0,8.0,10.0,1.0,0.2,0.3333
ArgA,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM,0.0,1.0,1.0,0.0,0.0,0.0,,
ArgM2,0.0,0.0,0.0,0.0,0.0,,,
ArgM_ADV,176.0,102.0,278.0,252.0,428.0,0.6331,0.4112,0.4986
ArgM_AND,0.0,0.0,0.0,0.0,0.0,,,
ArgM_BUT,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
ArgM_CAU,39.0,25.0,64.0,47.0,86.0,0.6094,0.4535,0.52
ArgM_CMP,5.0,5.0,10.0,19.0,24.0,0.5,0.2083,0.2941
ArgM_CND,1.0,0.0,1.0,14.0,15.0,1.0,0.0667,0.125
ArgM_CRT,7.0,7.0,14.0,11.0,18.0,0.5,0.3889,0.4375
ArgM_DIR,11.0,7.0,18.0,23.0,34.0,0.6111,0.3235,0.4231
ArgM_EXT,10.0,14.0,24.0,34.0,44.0,0.4167,0.2273,0.2941
ArgM_GOL,0.0,0.0,0.0,5.0,5.0,,0.0,
ArgM_LOC,48.0,28.0,76.0,107.0,155.0,0.6316,0.3097,0.4156
ArgM_MDF,0.0,0.0,0.0,7.0,7.0,,0.0,
ArgM_MNR,41.0,38.0,79.0,83.0,124.0,0.519,0.3306,0.4039
ArgM_MNS,12.0,10.0,22.0,32.0,44.0,0.5455,0.2727,0.3636
ArgM_NEG,120.0,30.0,150.0,9.0,129.0,0.8,0.9302,0.8602
ArgM_PRP,6.0,5.0,11.0,9.0,15.0,0.5455,0.4,0.4615
ArgM_PRX,28.0,32.0,60.0,57.0,85.0,0.4667,0.3294,0.3862
ArgM_REC,36.0,5.0,41.0,21.0,57.0,0.878,0.6316,0.7347
ArgM_SCP,19.0,33.0,52.0,54.0,73.0,0.3654,0.2603,0.304
ArgM_SPK,0.0,0.0,0.0,0.0,0.0,,,
ArgM_TMP,138.0,52.0,190.0,92.0,230.0,0.7263,0.6,0.6571
sum,6733.0,1858.0,8591.0,2655.0,9388.0,14.2377,9.2514,10.619
precision,0.7837,,,,,,,
recall,0.7172,,,,,,,
f1,0.749,,,,,,,
f1_macro,0.6851,,,,,,,
