,correct_num,wrong_num,predict_num,missed_num,support,precision,recall,f1
Arg,0.0,0.0,0.0,1.0,1.0,,0.0,
Arg0,1416.0,201.0,1617.0,326.0,1742.0,0.8757,0.8129,0.8431
Arg1,3119.0,825.0,3944.0,1020.0,4139.0,0.7908,0.7536,0.7717
Arg2,1188.0,475.0,1663.0,559.0,1747.0,0.7144,0.68,0.6968
Arg3,35.0,39.0,74.0,93.0,128.0,0.473,0.2734,0.3465
Arg4,14.0,26.0,40.0,32.0,46.0,0.35,0.3043,0.3256
Arg5,4.0,3.0,7.0,6.0,10.0,0.5714,0.4,0.4706
ArgA,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM,0.0,0.0,0.0,0.0,0.0,,,
ArgM2,0.0,0.0,0.0,0.0,0.0,,,
ArgM_ADV,235.0,269.0,504.0,193.0,428.0,0.4663,0.5491,0.5043
ArgM_AND,0.0,0.0,0.0,0.0,0.0,,,
ArgM_BUT,0.0,0.0,0.0,1.0,1.0,,0.0,
ArgM_CAU,36.0,27.0,63.0,50.0,86.0,0.5714,0.4186,0.4832
ArgM_CMP,6.0,9.0,15.0,18.0,24.0,0.4,0.25,0.3077
ArgM_CND,0.0,0.0,0.0,15.0,15.0,,0.0,
ArgM_CRT,10.0,6.0,16.0,8.0,18.0,0.625,0.5556,0.5882
ArgM_DIR,14.0,6.0,20.0,20.0,34.0,0.7,0.4118,0.5185
ArgM_EXT,11.0,17.0,28.0,33.0,44.0,0.3929,0.25,0.3056
ArgM_GOL,0.0,0.0,0.0,5.0,5.0,,0.0,
ArgM_LOC,44.0,29.0,73.0,111.0,155.0,0.6027,0.2839,0.386
ArgM_MDF,0.0,1.0,1.0,7.0,7.0,0.0,0.0,
ArgM_MNR,54.0,74.0,128.0,70.0,124.0,0.4219,0.4355,0.4286
ArgM_MNS,19.0,25.0,44.0,25.0,44.0,0.4318,0.4318,0.4318
ArgM_NEG,122.0,33.0,155.0,7.0,129.0,0.7871,0.9457,0.8592
ArgM_PRP,5.0,7.0,12.0,10.0,15.0,0.4167,0.3333,0.3704
ArgM_PRX,35.0,49.0,84.0,50.0,85.0,0.4167,0.4118,0.4142
ArgM_REC,39.0,3.0,42.0,18.0,57.0,0.9286,0.6842,0.7879
ArgM_SCP,15.0,41.0,56.0,58.0,73.0,0.2679,0.2055,0.2326
ArgM_SPK,0.0,0.0,0.0,0.0,0.0,,,
ArgM_TMP,156.0,85.0,241.0,74.0,230.0,0.6473,0.6783,0.6624
sum,6577.0,2250.0,8827.0,2811.0,9388.0,11.8514,10.0692,10.7348
precision,0.7451,,,,,,,
recall,0.7006,,,,,,,
f1,0.7222,,,,,,,
f1_macro,0.6926,,,,,,,
